Mixture,state,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-DD-A3A2-01A,cancer,0.083517756,0,0,0.127617311,0,0.057904837,0,0,0.094393645,0,0.084292964,0.030182701,0,0.068049213,0.017612172,0.430225292,0,0,0.006204111,0,0,0
TCGA-DD-A3A2-11A,normal,0.062830411,0,0.057325266,0.098373669,0,0.036760988,0,0.013223869,0.02151496,0.045881237,0,0.056301188,0.001704684,0.084804301,0.043210709,0.46016979,0,0,0.010354488,0,0,0.00754444
TCGA-DD-A3A3-01A,cancer,0.05675981,0,0,0.07904957,0,0.03522905,0,0.000144951,0.143310499,0,0,0.088291348,0.00091902,0.367709706,0.039864436,0.128730311,0.003020138,0,0.050584352,0,0,0.00638681
TCGA-DD-A3A3-11A,normal,0.020954137,0,0.064680361,0.09775453,0,0.073481498,0,0.004261224,0.012598628,0.016791241,0,0.027828163,0.113325012,0.105597665,0.05328668,0.367521511,0,0,0.041636784,0,0,0.000282565
TCGA-DD-A3A4-01A,cancer,0.012690556,0,0,0.004256043,0,0.134329774,0,0,0.100353995,0,0.161536614,0.042827732,0.05916307,0.287600436,0.016144393,0.102418415,0,0,0.076810081,0,0,0.00186889
TCGA-DD-A3A4-11A,normal,0.064124376,0,0.057714262,0.167132784,0,0.114455684,0,0,0.038497715,0,0.022938167,0.049388731,0.05405507,0.050481326,0.043454405,0.289220272,0,0,0.048537207,0,0,0
TCGA-DD-A3A6-01A,cancer,0,0,0.059558594,0.285262015,0,0.076822665,0,0.001452787,0.188195262,0,0,0.120084368,0.029348404,0.067688518,0.012733874,0.115750429,0,0,0.043103083,0,0,0
TCGA-DD-A3A6-11A,normal,0.123518929,0,0.115867305,0.217647533,0,0,0,0.021609104,0.037825675,0.027047722,0,0.109013182,0.005069889,0.152354593,0.045260857,0.119535248,0,0,0.022105191,0,0,0.003144771
TCGA-DD-A3A8-01A,cancer,0.016109839,0,0.006308243,0.122443726,0,0.104751718,0,0,0.072260855,0,0.235938958,0,0.055132217,0.164595367,0.069284793,0.053003471,0,0,0.100170813,0,0,0
TCGA-DD-A3A8-11A,normal,0.050041771,0,0.072075524,0.156296899,0,0.115526721,0,0,0.028308537,0,0.090176168,0.024186562,0.078841871,0.074595136,0.079565592,0.191183393,0,0,0.02338886,0,0,0.015812966
TCGA-EP-A12J-01A,cancer,0.001282209,0,0.013098236,0.182237248,0,0.134553937,0,0,0.01820131,0,0.11974256,0,0.073351063,0.051666802,0.068656213,0.20230004,0,0,0.133109806,0,0.001533291,0.000267285
TCGA-EP-A12J-11A,normal,0.040562328,0,0.092158568,0.175671889,0,0.256604244,0,0.010830881,0.021492201,0,0,0.025332443,0.029243079,0.022444656,0.087609861,0.213174416,0,0,0.023675052,0,0,0.001200382
TCGA-EP-A26S-01A,cancer,0.02082147,0,0.013522949,0.07796354,0,0.072814266,0.003293656,0,0.026645475,0.023899135,0.074441044,0,0.027164297,0.236539482,0.079078388,0.197326494,0.003551428,0,0.142938374,0,0,0
TCGA-EP-A26S-11A,normal,0.009184418,0,0.031631777,0.087746955,0,0.116140605,0,0,0,0.030643976,0.072531292,0,0.114770117,0.033317297,0.075167686,0.179209029,0,0,0,0.175178692,0,0.074478156
TCGA-EP-A3RK-01A,cancer,0.01512256,0,0.054900471,0.153245371,0,0.068557289,0,0.043047684,0.132079269,0.013321733,0,0.082295115,0.008157417,0.146990714,0.033550201,0.175023672,0.03146292,0,0.042245585,0,0,0
TCGA-EP-A3RK-11A,normal,0.07640957,0,0.046683532,0.092073127,0,0.100916334,0,0.019553856,0.005596128,0.017998539,0,0.1012711,0.07192597,0.045111823,0.067393023,0.260337478,0,0,0,0.084260756,0,0.010468765
TCGA-ES-A2HT-01A,cancer,0.019189997,0,0.115820959,0.053417786,0,0.167806025,0,0.003190113,0.152359507,0,0.038675119,0.012295356,0.021831683,0.059078899,0.104946586,0.251387971,0,0,0,0,0,0
TCGA-ES-A2HT-11A,normal,0.061011193,0,0.10043375,0.150821086,0,0.204028239,0,0,0.072633821,0,0,0.034109964,0.021669551,0.080012982,0.085348142,0.169560127,0,0,0.02015893,0,0,0.000212216
TCGA-FV-A23B-01A,cancer,0.046878845,0,0,0.107790091,0,0.261563379,0.006056067,0.043614943,0.06899833,0,0.026882833,0.012037847,0.031085568,0.085128127,0.067123195,0.170037133,0.054644659,0,0.018158982,0,0,0
